workclass,education,marital-status,occupation,relationship,sex,marital-status_index,workclass_index,relationship_index,occupation_index,education_index,sex_index
Private,HS-grad,Never-married,Transport-moving,Own-child,Male,1,0,2,8,0,0
Private,7th-8th,Separated,Transport-moving,Not-in-family,Male,4,0,1,8,8,0
Self-emp-not-inc,Bachelors,Divorced,Sales,Not-in-family,Male,2,1,1,4,2,0
State-gov,HS-grad,Never-married,Exec-managerial,Unmarried,Male,1,4,3,1,0,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,Some-college,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,1,1
State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,4,0,1,2,0
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,2,9,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,1,0
Federal-gov,Some-college,Never-married,Exec-managerial,Not-in-family,Male,1,6,1,1,1,0
Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Female,1,0,1,6,0,1
Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,1,1
Private,Bachelors,Widowed,Other-service,Not-in-family,Female,3,0,1,5,2,1
Private,Bachelors,Never-married,Sales,Own-child,Female,1,0,2,4,2,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,0,0
State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Wife,Female,0,4,4,2,11,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,3,0
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,4,3,0,1
Private,Assoc-voc,Divorced,Prof-specialty,Unmarried,Female,2,0,3,2,4,1
Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,0,2,4,3,0,1
Private,Assoc-voc,Never-married,Craft-repair,Own-child,Male,1,0,2,0,4,0
Private,Some-college,Never-married,Adm-clerical,Unmarried,Female,1,0,3,3,1,1
Private,Bachelors,Never-married,Exec-managerial,Own-child,Male,1,0,2,1,2,0
Private,Some-college,Never-married,Machine-op-inspct,Unmarried,Male,1,0,3,6,1,0
Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,Male,0,1,0,4,1,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,2,0
State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,4,0,1,3,0
Private,11th,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,5,0
Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,Male,0,1,0,4,1,0
Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,4,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,1,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,4,1,1,1
Private,Some-college,Never-married,Other-service,Own-child,Male,1,0,2,5,1,0
Private,HS-grad,Divorced,Other-service,Own-child,Female,2,0,2,5,0,1
Private,5th-6th,Widowed,Machine-op-inspct,Not-in-family,Female,3,0,1,6,12,1
Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,0,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,1,0
Private,Bachelors,Never-married,Sales,Other-relative,Male,1,0,5,4,2,0
Local-gov,7th-8th,Married-civ-spouse,Protective-serv,Husband,Male,0,2,0,12,8,0
Private,Some-college,"",Sales,Unmarried,Female,"",0,3,4,1,1
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,3,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,0,0
Private,Some-college,Divorced,Adm-clerical,Unmarried,Female,2,0,3,3,1,1
Private,Some-college,Never-married,Protective-serv,Not-in-family,Male,1,0,1,12,1,0
Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,12,0
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,1,0
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,2,0,2,2,0
Private,Some-college,Never-married,Transport-moving,Not-in-family,Male,1,0,1,8,1,0
?,HS-grad,Married-civ-spouse,?,Husband,Male,0,3,0,7,0,0
?,10th,Widowed,?,Not-in-family,Male,3,3,1,7,7,0
Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,2,0,2,3,0
Private,11th,Never-married,Craft-repair,Own-child,Male,1,0,2,0,5,0
Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Female,2,0,3,6,1,1
Private,HS-grad,Never-married,Other-service,Own-child,Female,1,0,2,5,0,1
?,"",Never-married,?,Own-child,Male,1,3,2,7,"",0
Private,Bachelors,"",Other-service,Not-in-family,Female,"",0,1,5,2,1
Private,"",Married-civ-spouse,Other-service,Husband,Male,0,0,0,5,"",0
Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,0,11,0,0
Private,10th,Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,7,0
Private,HS-grad,Divorced,Craft-repair,Not-in-family,Male,2,0,1,0,0,0
Local-gov,Assoc-voc,Divorced,Exec-managerial,Not-in-family,Female,2,2,1,1,4,1
Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,0,0
Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,4,0
Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,4,3,4,1
Private,HS-grad,Divorced,Protective-serv,Not-in-family,Male,2,0,1,12,0,0
Private,HS-grad,Divorced,Exec-managerial,Unmarried,Female,2,0,3,1,0,1
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,Bachelors,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,2,1
Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,0,5,0,11,1,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,1,0,2,6,0,0
Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,0,11,1,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,1,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,0,0
Private,HS-grad,Widowed,Sales,Unmarried,Female,3,0,3,4,0,1
Self-emp-not-inc,Some-college,Never-married,Craft-repair,Own-child,Male,1,1,2,0,1,0
State-gov,Some-college,Never-married,Protective-serv,Not-in-family,Female,1,4,1,12,1,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,0,0,0
Federal-gov,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,Male,1,6,1,3,6,0
Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,5,0,1,1,0
Private,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,1,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,HS-grad,Married-civ-spouse,Other-service,Husband,Male,0,0,0,5,0,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Private,HS-grad,Never-married,Priv-house-serv,Not-in-family,Female,1,0,1,13,0,1
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,3,0
Self-emp-not-inc,Doctorate,Divorced,Exec-managerial,Not-in-family,Female,2,1,1,1,11,1
State-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,Male,1,4,1,2,9,0
Private,HS-grad,Never-married,Sales,Not-in-family,Male,1,0,1,4,0,0
Private,"",Married-civ-spouse,Sales,Husband,Male,0,0,0,4,"",0
Private,Assoc-voc,Never-married,Tech-support,Not-in-family,Male,1,0,1,10,4,0
Private,10th,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,7,0
Private,HS-grad,Never-married,Sales,Own-child,Female,1,0,2,4,0,1
Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,Female,1,2,1,2,1,1
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,1,0
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Male,1,0,1,3,0,0
Local-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Female,2,2,3,3,6,1
Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Own-child,Male,1,1,2,0,0,0
Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,4,0
Private,HS-grad,Divorced,Sales,Not-in-family,Female,2,0,1,4,0,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
?,Some-college,Never-married,?,Own-child,Male,1,3,2,7,1,0
Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,1,4,6,0,1
Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,1,0,1,6,0,0
State-gov,Some-college,Never-married,Other-service,Own-child,Female,1,4,2,5,1,1
Private,Assoc-voc,Never-married,Sales,Unmarried,Male,1,0,3,4,4,0
Private,Some-college,Divorced,Adm-clerical,Not-in-family,Male,2,0,1,3,1,0
Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,6,0,1,2,0
Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,11,0
Private,Some-college,Never-married,Other-service,Own-child,Male,1,0,2,5,1,0
Private,"",Married-civ-spouse,Farming-fishing,Wife,Female,0,0,4,11,"",1
?,Some-college,Never-married,?,Own-child,Male,1,3,2,7,1,0
Private,Some-college,Never-married,Sales,Own-child,Male,1,0,2,4,1,0
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,2,9,0
Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,1,0,2,6,0,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Bachelors,Divorced,Adm-clerical,Not-in-family,Female,2,0,1,3,2,1
Private,"",Never-married,Handlers-cleaners,Unmarried,Male,1,0,3,9,"",0
Private,HS-grad,Never-married,Adm-clerical,Own-child,Male,1,0,2,3,0,0
Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,2,0,1,3,0,1
Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,8,0
Private,11th,Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,5,0
Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,1,1
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,0,1
Private,HS-grad,Divorced,Craft-repair,Own-child,Male,2,0,2,0,0,0
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,1,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Federal-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,6,0,0,1,0
Private,Some-college,Divorced,Adm-clerical,Unmarried,Female,2,0,3,3,1,1
Self-emp-not-inc,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,Male,2,1,1,1,6,0
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,1,0
Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,4,0
Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,4,3,2,1
Private,10th,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,7,0
Self-emp-not-inc,HS-grad,Never-married,Prof-specialty,Not-in-family,Male,1,1,1,2,0,0
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Female,1,0,1,2,2,1
State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,4,0,2,3,0
?,Bachelors,Never-married,?,Own-child,Male,1,3,2,7,2,0
Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,6,0,2,3,0
Private,7th-8th,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,0,11,8,0
Private,12th,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,10,0
Local-gov,HS-grad,Divorced,Adm-clerical,Own-child,Male,2,2,2,3,0,0
Private,Assoc-voc,Married-civ-spouse,Other-service,Wife,Female,0,0,4,5,4,1
Private,10th,Never-married,Farming-fishing,Unmarried,Male,1,0,3,11,7,0
Private,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,6,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,2,0
Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Female,1,0,1,1,0,1
Private,1st-4th,Widowed,Other-service,Other-relative,Female,3,0,5,5,13,1
State-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,Male,1,4,1,2,9,0
Private,HS-grad,Never-married,Craft-repair,Not-in-family,Male,1,0,1,0,0,0
Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,1,0
Private,Some-college,Never-married,Machine-op-inspct,Own-child,Male,1,0,2,6,1,0
Private,Some-college,Separated,Sales,Not-in-family,Male,4,0,1,4,1,0
?,11th,Never-married,?,Own-child,Female,1,3,2,7,5,1
Private,11th,Never-married,Sales,Own-child,Male,1,0,2,4,5,0
Self-emp-inc,Some-college,Married-civ-spouse,Prof-specialty,Wife,Female,0,5,4,2,1,1
Private,Some-college,Never-married,Craft-repair,Not-in-family,Male,1,0,1,0,1,0
Private,Some-college,Widowed,Sales,Not-in-family,Female,3,0,1,4,1,1
Self-emp-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,0,5,0,2,0,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,0,1,0
Private,1st-4th,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,13,0
?,1st-4th,Married-civ-spouse,?,Husband,Male,0,3,0,7,13,0
Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,2,0,1,3,0,1
Self-emp-not-inc,Some-college,Divorced,Other-service,Not-in-family,Female,2,1,1,5,1,1
Private,Some-college,Never-married,Other-service,Own-child,Female,1,0,2,5,1,1
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,1,0,1,2,2,0
Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,0,2,0
Private,7th-8th,Widowed,Exec-managerial,Not-in-family,Male,3,0,1,1,8,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,1,0
Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,2,0,2,3,0
Self-emp-not-inc,Some-college,Never-married,Sales,Not-in-family,Male,1,1,1,4,1,0
Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,Male,0,2,0,12,2,0
Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,0,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,0,0
?,HS-grad,Divorced,?,Not-in-family,Female,2,3,1,7,0,1
Private,HS-grad,Separated,Exec-managerial,Unmarried,Female,4,0,3,1,0,1
Private,Some-college,Divorced,Adm-clerical,Unmarried,Female,2,0,3,3,1,1
Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,0,0
Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,0,4,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,1,0
Private,Bachelors,Never-married,Prof-specialty,Own-child,Female,1,0,2,2,2,1
Self-emp-not-inc,11th,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,0,1,5,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,0,2,0
Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,2,0,1,3,0,1
Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,0,0
Private,Bachelors,Never-married,Protective-serv,Not-in-family,Female,1,0,1,12,2,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,Some-college,Never-married,Exec-managerial,Not-in-family,Female,1,0,1,1,1,1
Private,HS-grad,Never-married,Other-service,Unmarried,Female,1,0,3,5,0,1
Private,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,Male,1,0,1,1,6,0
Private,Some-college,Never-married,Craft-repair,Own-child,Male,1,0,2,0,1,0
Local-gov,12th,Married-civ-spouse,Farming-fishing,Husband,Male,0,2,0,11,10,0
Private,10th,Never-married,Other-service,Own-child,Female,1,0,2,5,7,1
Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,11,0
Private,HS-grad,Never-married,Adm-clerical,Own-child,Male,1,0,2,3,0,0
Private,11th,Never-married,Other-service,Own-child,Female,1,0,2,5,5,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,1,0
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,2,0
Private,Assoc-voc,Divorced,Prof-specialty,Not-in-family,Female,2,0,1,2,4,1
Private,Some-college,Never-married,Other-service,Not-in-family,Male,1,0,1,5,1,0
State-gov,Bachelors,Never-married,Prof-specialty,Own-child,Male,1,4,2,2,2,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,0,0
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,1,0
Private,Assoc-voc,Never-married,Adm-clerical,Not-in-family,Male,1,0,1,3,4,0
Private,HS-grad,Never-married,Craft-repair,Not-in-family,Male,1,0,1,0,0,0
Private,Some-college,Divorced,Handlers-cleaners,Not-in-family,Male,2,0,1,9,1,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,Some-college,Never-married,Exec-managerial,Own-child,Female,1,0,2,1,1,1
Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,Male,1,0,1,2,6,0
Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,1,2,1,2,2,0
Private,Assoc-voc,Divorced,Prof-specialty,Not-in-family,Female,2,0,1,2,4,1
Private,HS-grad,Never-married,Other-service,Unmarried,Female,1,0,3,5,0,1
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,1,0,1,1,2,1
Private,HS-grad,Divorced,Craft-repair,Not-in-family,Male,2,0,1,0,0,0
Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,2,0
Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,11,0
Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,2,0
Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,2,0,1,3,0,1
Local-gov,11th,Never-married,Adm-clerical,Other-relative,Female,1,2,5,3,5,1
Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,2,0
Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,6,0
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,3,0
Private,Bachelors,Never-married,Sales,Not-in-family,Male,1,0,1,4,2,0
Private,7th-8th,Never-married,Handlers-cleaners,Not-in-family,Female,1,0,1,9,8,1
Private,12th,Never-married,Handlers-cleaners,Not-in-family,Male,1,0,1,9,10,0
?,Masters,Divorced,?,Own-child,Female,2,3,2,7,3,1
?,HS-grad,Divorced,?,Other-relative,Female,2,3,5,7,0,1
Local-gov,Some-college,"",Adm-clerical,Unmarried,Female,"",2,3,3,1,1
Private,"",Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,"",0
Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,Male,0,0,0,10,4,0
Local-gov,Some-college,Married-civ-spouse,Other-service,Husband,Male,0,2,0,5,1,0
Private,HS-grad,Divorced,Craft-repair,Not-in-family,Male,2,0,1,0,0,0
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,1,0
Private,Some-college,Separated,Other-service,Other-relative,Female,4,0,5,5,1,1
Local-gov,Masters,Divorced,Prof-specialty,Unmarried,Female,2,2,3,2,3,1
Private,Some-college,Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,1,0
Private,Assoc-acdm,Divorced,Machine-op-inspct,Not-in-family,Male,2,0,1,6,6,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Local-gov,Assoc-voc,Never-married,Adm-clerical,Own-child,Male,1,2,2,3,4,0
Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,4,0
Private,HS-grad,Divorced,Exec-managerial,Other-relative,Female,2,0,5,1,0,1
Private,Some-college,Never-married,Tech-support,Own-child,Male,1,0,2,10,1,0
Private,HS-grad,Never-married,Exec-managerial,Unmarried,Female,1,0,3,1,0,1
Private,Bachelors,Never-married,Sales,Not-in-family,Male,1,0,1,4,2,0
Private,Some-college,Separated,Exec-managerial,Not-in-family,Male,4,0,1,1,1,0
Self-emp-inc,HS-grad,Married-civ-spouse,Protective-serv,Husband,Male,0,5,0,12,0,0
Local-gov,10th,Never-married,Other-service,Not-in-family,Male,1,2,1,5,7,0
Federal-gov,Some-college,Divorced,Machine-op-inspct,Unmarried,Male,2,6,3,6,1,0
Self-emp-inc,Prof-school,Divorced,Prof-specialty,Not-in-family,Male,2,5,1,2,9,0
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,1,0
Private,HS-grad,Never-married,Other-service,Own-child,Female,1,0,2,5,0,1
Private,HS-grad,Never-married,Other-service,Unmarried,Female,1,0,3,5,0,1
Private,Doctorate,Never-married,Prof-specialty,Not-in-family,Male,1,0,1,2,11,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,12th,Never-married,Sales,Unmarried,Female,1,0,3,4,10,1
Private,HS-grad,Never-married,Adm-clerical,Other-relative,Female,1,0,5,3,0,1
Private,Doctorate,Never-married,Prof-specialty,Not-in-family,Male,1,0,1,2,11,0
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,3,0
Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,Male,1,0,1,9,1,0
Private,11th,Married-civ-spouse,Other-service,Wife,Female,0,0,4,5,5,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,7th-8th,Never-married,Machine-op-inspct,Not-in-family,Male,1,0,1,6,8,0
Private,Bachelors,Divorced,Tech-support,Unmarried,Female,2,0,3,10,2,1
Private,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,1,0
?,Masters,Married-civ-spouse,?,Husband,Male,0,3,0,7,3,0
State-gov,Some-college,Divorced,Adm-clerical,Not-in-family,Female,2,4,1,3,1,1
Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,2,0
Private,"",Divorced,Sales,Not-in-family,Male,2,0,1,4,"",0
Private,11th,Divorced,Machine-op-inspct,Unmarried,Female,2,0,3,6,5,1
Private,HS-grad,Never-married,Sales,Own-child,Male,1,0,2,4,0,0
